Soil Texture,Soil pH,Organic Carbon (%),Total Nitrogen (%),Available Phosphorus (ppm),Exchangeable Potassium (cmol/kg),Cation Exchange Capacity (cmol/kg),Soil Moisture (%),Bulk Density (g/cm³),Electrical Conductivity (dS/m),Soil Respiration CO₂ (mg/kg/day)
Sandy Loam,6.64901424590337,0.49231462897479283,0.1107336208104485,3.236687748662092,0.5866874267444525,3.463369092367503,12.193013976181337,1.4362612872693483,0.029695799878850182,23.778421354515142
Sandy Loam,6.458520709648645,0.9896773386173204,0.11682353579104704,4.172135567646755,0.5351402092378829,10.485506987866547,28.429134372862716,1.6189016531107552,0.48750674735675836,31.92217179430369
Sandy Loam,6.694306561430208,1.0286427417366153,0.1324915372952583,6.559312753854111,0.35120641542034586,6.576012915422479,12.404808889344455,1.6420504247989856,0.20750548370041635,71.07804684575581
Sandy Loam,6.956908956922407,0.7988613653891905,0.1316140615610471,7.29108229567289,0.45286205595678264,9.745931221743206,41.05905651869912,1.4429253706250524,0.2294735439038853,34.85126598853287
Sandy Loam,6.429753987582999,1.1193571441669954,0.05866991896128727,9.909744473912355,0.5468623156304422,14.617333335769203,23.946543207047114,1.4167644426895771,0.2685380634009364,55.83240655416374
Sandy Loam,6.429758912915246,1.402025428407269,0.07186524880254633,5.676108890572718,0.35277314522759284,1.5063915727910238,21.47868898955899,1.5471415556386403,0.4507504385859802,7.966455168844652
Sandy Loam,6.973763844652217,2.143092950605265,0.1154510580162598,11.902048930008885,0.45794824518175387,18.82845639128135,13.13313775855029,1.444777695571903,0.18145136929347677,19.669089580207842
Sandy Loam,6.730230418745872,1.2872889064159194,0.11541357852736626,11.811791314698052,0.6023787410193808,13.233629001037889,25.60247903527193,1.563293181775551,0.28346491613887,62.22371389167348
Sandy Loam,6.3591576842195146,1.3287751953613822,0.11545143058918145,15.935814732314098,0.20432529431365207,36.29708027502059,15.394897390097809,1.52029230208513,0.06969729363842303,21.796016905112797
Sandy Loam,6.662768013075789,1.1627770421169163,0.21558194471964165,6.77571931694783,0.36894941530207814,5.220824850824139,20.976078517162893,1.3484255885002767,0.6147611969954986,25.302902119925115
Sandy Loam,6.360974692156262,0.2406143923504792,0.11712671532079502,8.484675368106556,0.3595458116212929,3.438452894655563,40.48067630615036,1.6547505201330062,0.17004787867254126,70.33422934341343
Sandy Loam,6.360281073928923,1.1867430622753916,0.13406696920541797,6.016940826456393,0.4313094877439591,8.506139429673212,19.2315208022028,1.679587767309552,0.06927885762724038,11.92392848360495
Sandy Loam,6.57258868146981,1.2301151049705132,0.12862005290479608,3.2711787300679958,0.4452209122626462,5.126032058601462,29.194186610285406,1.4387211309515613,0.09253298979693331,14.555658849112008
Sandy Loam,5.926015926602661,2.4316210562426432,0.11954173753917394,24.36038487934052,0.34387373670534094,17.556213462436148,14.3745885989929,1.4612298440064015,0.007607384992740908,7.134594138375064
Sandy Loam,5.9825246502460905,1.1038195176094387,0.09054192266078964,14.61366691203616,0.38456266538869843,4.961205032634225,19.720092076024308,1.5285865390724904,0.09186902864533857,72.18372960886647
Sandy Loam,6.331313741227708,1.3507736711668061,0.12276907661479802,11.647371713807534,0.3726775029547177,6.272133829203035,34.16640508508408,1.5334456789987025,0.0010623506152780868,50.096806736147535
Sandy Loam,6.196150663899673,1.1826441151473783,0.07681524356387286,6.6036243707687605,0.4149210754827131,2.954435039814639,14.98426353769786,1.565854427267283,0.30143977030109725,49.238341733391906
Sandy Loam,6.5942741997785825,0.6156609811902339,0.09289544179779974,3.023792416843842,0.47182227325310966,14.47411522638171,34.49958846397543,1.701020453876635,0.22329719574133167,19.222494953186757
Sandy Loam,6.227592777343637,1.7714114072575102,0.0854390935651269,13.076375638212811,0.5410564122371081,3.160909797187227,25.662015483643803,1.4823052772505951,0.04668258748989967,6.590962765679433
Sandy Loam,6.076308889599413,1.575966516343387,0.10245622418158969,5.935735162811352,0.5555330996546415,11.219817889964492,15.500265792845859,1.4201702755461547,0.14295651187135391,4.7566997622589415
Sandy Loam,6.939694630676466,1.5955159735215234,0.16943975700020525,9.034465270889259,0.5153634261335324,29.319788292720016,25.059261912444168,1.3620680771985474,0.1494602677910609,62.52886374715668
